url,name,price,compare_price,categories,description,images
https://shop.webthethao.vn/giay-pickleball-nam-dong-luc-jogarbola-endura-navy-jg-23557-06-hang-chinh-hang,"Giày Pickleball Nam Động Lực Jogarbola Endura ""White"" JG-23557-05 - Hàng Chính Hãng",,,,"Giày Pickleball Jogarbola Endura – Bảo Vệ Chân, Lên Sân Tự Tin
Giày Pickleball Jogarbola Endura là lựa chọn hoàn hảo cho người chơi bán chuyên và phong trào, mang đến sự thoải mái, ổn định và hiệu suất vượt trội trên sân. Với thiết kế tối giản, dễ phối đồ cùng những công nghệ hiện đại, đôi giày này giúp bạn làm chủ từng bước di chuyển.
Đặc điểm nổi bật
Upper TPU kết hợp Microfiber bền bỉ cùng lưới thoáng khí, mang lại độ ôm chân vừa vặn và sự thông thoáng tối đa.
Công nghệ J-Foam – Đế Phylon đàn hồi tốt, giảm chấn hiệu quả, mang lại cảm giác nhẹ nhàng và êm ái trong từng bước di chuyển.
Công nghệ J-Rubber – Đế cao su tăng cường ma sát, chống trơn trượt, giúp bạn luôn vững vàng trên mọi mặt sân.
Công nghệ J-Lock – Thanh TPU chống vặn xoắn, hạn chế lật cổ chân, tối ưu phản lực khi di chuyển và đổi hướng nhanh.
Thông số kỹ thuật
Chất liệu: TPU, Microfiber, vải lưới
Màu: Beige, Navy, White
Size: 39-44",
https://shop.webthethao.vn/giay-pickleball-nam-dong-luc-jogarbola-endura-white-jg-23557-05-hang-chinh-hang,"Giày Pickleball Nam Động Lực Jogarbola Endura ""Navy"" JG-23557-06 - Hàng Chính Hãng",,,,"Giày Pickleball Jogarbola Endura – Bảo Vệ Chân, Lên Sân Tự Tin
Giày Pickleball Jogarbola Endura là lựa chọn hoàn hảo cho người chơi bán chuyên và phong trào, mang đến sự thoải mái, ổn định và hiệu suất vượt trội trên sân. Với thiết kế tối giản, dễ phối đồ cùng những công nghệ hiện đại, đôi giày này giúp bạn làm chủ từng bước di chuyển.
Đặc điểm nổi bật
Upper TPU kết hợp Microfiber bền bỉ cùng lưới thoáng khí, mang lại độ ôm chân vừa vặn và sự thông thoáng tối đa.
Công nghệ J-Foam – Đế Phylon đàn hồi tốt, giảm chấn hiệu quả, mang lại cảm giác nhẹ nhàng và êm ái trong từng bước di chuyển.
Công nghệ J-Rubber – Đế cao su tăng cường ma sát, chống trơn trượt, giúp bạn luôn vững vàng trên mọi mặt sân.
Công nghệ J-Lock – Thanh TPU chống vặn xoắn, hạn chế lật cổ chân, tối ưu phản lực khi di chuyển và đổi hướng nhanh.
Thông số kỹ thuật
Chất liệu: TPU, Microfiber, vải lưới
Màu: Beige, Navy, White
Size: 39-44",
https://shop.webthethao.vn/giay-pickleball-nam-dong-luc-jogarbola-endura-beige-jg-23557-04-hang-chinh-hang,"Giày Pickleball Nam Động Lực Jogarbola Endura ""Navy"" JG-23557-06 - Hàng Chính Hãng",,,,"Giày Pickleball Jogarbola Endura – Bảo Vệ Chân, Lên Sân Tự Tin
Giày Pickleball Jogarbola Endura là lựa chọn hoàn hảo cho người chơi bán chuyên và phong trào, mang đến sự thoải mái, ổn định và hiệu suất vượt trội trên sân. Với thiết kế tối giản, dễ phối đồ cùng những công nghệ hiện đại, đôi giày này giúp bạn làm chủ từng bước di chuyển.
Đặc điểm nổi bật
Upper TPU kết hợp Microfiber bền bỉ cùng lưới thoáng khí, mang lại độ ôm chân vừa vặn và sự thông thoáng tối đa.
Công nghệ J-Foam – Đế Phylon đàn hồi tốt, giảm chấn hiệu quả, mang lại cảm giác nhẹ nhàng và êm ái trong từng bước di chuyển.
Công nghệ J-Rubber – Đế cao su tăng cường ma sát, chống trơn trượt, giúp bạn luôn vững vàng trên mọi mặt sân.
Công nghệ J-Lock – Thanh TPU chống vặn xoắn, hạn chế lật cổ chân, tối ưu phản lực khi di chuyển và đổi hướng nhanh.
Thông số kỹ thuật
Chất liệu: TPU, Microfiber, vải lưới
Màu: Beige, Navy, White
Size: 39-44",
https://shop.webthethao.vn/ao-phong-the-thao-nam-jogarbola-mau-pastle-blue-mj-a430-06-hang-chinh-hang,"Áo ba lỗ thể thao nữ Jogarbola Tempo ""Purple"" WJ-AJ378-03 - Hàng Chính Hãng",,,,"Áo Phông Thể Thao Pickleball MJ-A430 – Mát mịn & Linh Hoạt Tối Đa
  - Sự kết hợp giữa 92% poly và 8% spandex giúp áo có độ co giãn vượt trội cả 4 chiều, đảm bảo cảm giác dễ chịu.
- Vải poly không chỉ nhẹ mà còn có khả năng thoát ẩm nhanh, giữ cho cơ thể luôn khô ráo.
- Hệ thống lỗ thông khí được bố trí trải khắp bề mặt áo, hỗ trợ điều hòa nhiệt độ cơ thể, giúp tăng cường sự thoáng mát.
- Logo silicon tinh tế trên ngực áo tạo điểm nhấn hiện đại và thể thao, mang lại vẻ ngoài năng động và chuyên nghiệp cho người mặc.
- Phù hợp cho các môn thể thao vận động: Pickleball, bóng chuyền, cầu lông, ...",
https://shop.webthethao.vn/ao-phong-the-thao-nam-jogarbola-mau-yellow-mj-a430-05-hang-chinh-hang,"Áo ba lỗ thể thao nữ Jogarbola Tempo ""Purple"" WJ-AJ378-03 - Hàng Chính Hãng",,,,"Áo Phông Thể Thao Pickleball MJ-A430 – Mát mịn & Linh Hoạt Tối Đa
  - Sự kết hợp giữa 92% poly và 8% spandex giúp áo có độ co giãn vượt trội cả 4 chiều, đảm bảo cảm giác dễ chịu.
- Vải poly không chỉ nhẹ mà còn có khả năng thoát ẩm nhanh, giữ cho cơ thể luôn khô ráo.
- Hệ thống lỗ thông khí được bố trí trải khắp bề mặt áo, hỗ trợ điều hòa nhiệt độ cơ thể, giúp tăng cường sự thoáng mát.
- Logo silicon tinh tế trên ngực áo tạo điểm nhấn hiện đại và thể thao, mang lại vẻ ngoài năng động và chuyên nghiệp cho người mặc.
- Phù hợp cho các môn thể thao vận động: Pickleball, bóng chuyền, cầu lông, ...",
https://shop.webthethao.vn/ao-phong-the-thao-nam-jogarbola-mau-red-mj-a430-04-hang-chinh-hang,"Áo ba lỗ thể thao nữ Jogarbola Tempo ""Purple"" WJ-AJ378-03 - Hàng Chính Hãng",,,,"Áo Phông Thể Thao Pickleball MJ-A430 – Mát mịn & Linh Hoạt Tối Đa
  - Sự kết hợp giữa 92% poly và 8% spandex giúp áo có độ co giãn vượt trội cả 4 chiều, đảm bảo cảm giác dễ chịu.
- Vải poly không chỉ nhẹ mà còn có khả năng thoát ẩm nhanh, giữ cho cơ thể luôn khô ráo.
- Hệ thống lỗ thông khí được bố trí trải khắp bề mặt áo, hỗ trợ điều hòa nhiệt độ cơ thể, giúp tăng cường sự thoáng mát.
- Logo silicon tinh tế trên ngực áo tạo điểm nhấn hiện đại và thể thao, mang lại vẻ ngoài năng động và chuyên nghiệp cho người mặc.
- Phù hợp cho các môn thể thao vận động: Pickleball, bóng chuyền, cầu lông, ...",
https://shop.webthethao.vn/ao-phong-the-thao-nam-jogarbola-mau-green-yellow-mj-a430-03-hang-chinh-hang,"Áo ba lỗ thể thao nữ Jogarbola Tempo ""Purple"" WJ-AJ378-03 - Hàng Chính Hãng",,,,"Áo Phông Thể Thao Pickleball MJ-A430 – Mát mịn & Linh Hoạt Tối Đa
  - Sự kết hợp giữa 92% poly và 8% spandex giúp áo có độ co giãn vượt trội cả 4 chiều, đảm bảo cảm giác dễ chịu.
- Vải poly không chỉ nhẹ mà còn có khả năng thoát ẩm nhanh, giữ cho cơ thể luôn khô ráo.
- Hệ thống lỗ thông khí được bố trí trải khắp bề mặt áo, hỗ trợ điều hòa nhiệt độ cơ thể, giúp tăng cường sự thoáng mát.
- Logo silicon tinh tế trên ngực áo tạo điểm nhấn hiện đại và thể thao, mang lại vẻ ngoài năng động và chuyên nghiệp cho người mặc.
- Phù hợp cho các môn thể thao vận động: Pickleball, bóng chuyền, cầu lông, ...",
https://shop.webthethao.vn/ao-phong-the-thao-nam-jogarbola-mau-green-black-mj-a430-02-hang-chinh-hang,"Áo ba lỗ thể thao nữ Jogarbola Tempo ""Purple"" WJ-AJ378-03 - Hàng Chính Hãng",,,,"Áo Phông Thể Thao Pickleball MJ-A430 – Mát mịn & Linh Hoạt Tối Đa
  - Sự kết hợp giữa 92% poly và 8% spandex giúp áo có độ co giãn vượt trội cả 4 chiều, đảm bảo cảm giác dễ chịu.
- Vải poly không chỉ nhẹ mà còn có khả năng thoát ẩm nhanh, giữ cho cơ thể luôn khô ráo.
- Hệ thống lỗ thông khí được bố trí trải khắp bề mặt áo, hỗ trợ điều hòa nhiệt độ cơ thể, giúp tăng cường sự thoáng mát.
- Logo silicon tinh tế trên ngực áo tạo điểm nhấn hiện đại và thể thao, mang lại vẻ ngoài năng động và chuyên nghiệp cho người mặc.
- Phù hợp cho các môn thể thao vận động: Pickleball, bóng chuyền, cầu lông, ...",
https://shop.webthethao.vn/ao-phong-the-thao-nam-jogarbola-mau-navy-mj-a430-01-hang-chinh-hang,"Áo ba lỗ thể thao nữ Jogarbola Tempo ""Purple"" WJ-AJ378-03 - Hàng Chính Hãng",,,,"Áo Phông Thể Thao Pickleball MJ-A430 – Mát mịn & Linh Hoạt Tối Đa
  - Sự kết hợp giữa 92% poly và 8% spandex giúp áo có độ co giãn vượt trội cả 4 chiều, đảm bảo cảm giác dễ chịu.
- Vải poly không chỉ nhẹ mà còn có khả năng thoát ẩm nhanh, giữ cho cơ thể luôn khô ráo.
- Hệ thống lỗ thông khí được bố trí trải khắp bề mặt áo, hỗ trợ điều hòa nhiệt độ cơ thể, giúp tăng cường sự thoáng mát.
- Logo silicon tinh tế trên ngực áo tạo điểm nhấn hiện đại và thể thao, mang lại vẻ ngoài năng động và chuyên nghiệp cho người mặc.
- Phù hợp cho các môn thể thao vận động: Pickleball, bóng chuyền, cầu lông, ...",
https://shop.webthethao.vn/ao-thi-dau-doi-tuyen-bong-da-quoc-gia-2025-ban-fan-mau-trang-mj-a4051-01-hang-chinh-hang,"Áo thi đấu Đội tuyển bóng đá Quốc gia 2025 (bản FAN) màu ""Đỏ"" MJ-A4054-03 - Hàng Chính Hãng",,,,"Áo Thi Đấu Đội Tuyển Bóng Đá Quốc Gia 2025 (Bản Fan) – Hòa Nhịp Cùng Niềm Tự Hào Dân Tộc
Sản phẩm thuộc BST Trang phục Đội tuyển Bóng đá Quốc gia 2025, mang thông điệp “Vinh quang Việt Nam” – khẳng định tinh thần kiên cường, bất khuất và khát vọng chiến thắng của những chiến binh sao vàng.
Họa tiết trên áo được lấy cảm hứng từ những dãy núi trùng điệp – tượng trưng cho một Việt Nam kiên cường, bất khuất. Như hành trình của đội tuyển quốc gia, chưa bao giờ dễ dàng nhưng cũng chưa bao giờ chùn bước. Mỗi đường nét trên áo là một dấu ấn mạnh mẽ, nhắc nhở rằng: Không bao giờ lùi bước, chỉ có tiến lên để giành vinh quang!
Đặc điểm nổi bật
Áo thi đấu được làm từ 100% polyester, một trong những chất liệu phổ biến nhất trong trang phục thể thao chuyên nghiệp nhờ vào những ưu điểm vượt trội:
Độ bền cao, giữ form tốt: Polyester có khả năng chống nhăn, không bai dão sau thời gian dài sử dụng. Điều này giúp áo luôn giữ được phom dáng sắc nét, thể hiện sự mạnh mẽ và tinh thần thể thao.
Thoáng khí, hỗ trợ thấm hút mồ hôi: Công nghệ dệt hiện đại giúp không khí lưu thông tốt hơn, nhanh chóng làm khô mồ hôi, mang lại cảm giác dễ chịu khi vận động.
Kháng khuẩn tốt, dễ bảo quản: Chất liệu 100% polyester có đặc tính kháng khuẩn tự nhiên, giúp hạn chế sự phát triển của vi khuẩn và ngăn ngừa mùi hôi do mồ hôi hoặc bụi bẩn tích tụ. Đồng thời, bề mặt vải ít bám bẩn, dễ vệ sinh và nhanh khô, giúp áo luôn sạch sẽ, bền đẹp theo thời gian.
Thông số kỹ thuật
Chất liệu: 100% polyester
Màu: Red, White
Size: S-3XL
Mã SP: MJ-A4051-03, MJ-A4052-01",
https://shop.webthethao.vn/ao-thi-dau-doi-tuyen-bong-da-quoc-gia-2025-ban-fan-mau-do-mj-a4051-03-hang-chinh-hang,"Áo thi đấu Đội tuyển bóng đá Quốc gia 2025 (bản FAN) màu ""Trắng"" MJ-A4054-01 - Hàng Chính Hãng",,,,"Áo Thi Đấu Đội Tuyển Bóng Đá Quốc Gia 2025 (Bản Fan) – Hòa Nhịp Cùng Niềm Tự Hào Dân Tộc
Sản phẩm thuộc BST Trang phục Đội tuyển Bóng đá Quốc gia 2025, mang thông điệp “Vinh quang Việt Nam” – khẳng định tinh thần kiên cường, bất khuất và khát vọng chiến thắng của những chiến binh sao vàng.
Họa tiết trên áo được lấy cảm hứng từ những dãy núi trùng điệp – tượng trưng cho một Việt Nam kiên cường, bất khuất. Như hành trình của đội tuyển quốc gia, chưa bao giờ dễ dàng nhưng cũng chưa bao giờ chùn bước. Mỗi đường nét trên áo là một dấu ấn mạnh mẽ, nhắc nhở rằng: Không bao giờ lùi bước, chỉ có tiến lên để giành vinh quang!
Đặc điểm nổi bật
Áo thi đấu được làm từ 100% polyester, một trong những chất liệu phổ biến nhất trong trang phục thể thao chuyên nghiệp nhờ vào những ưu điểm vượt trội:
Độ bền cao, giữ form tốt: Polyester có khả năng chống nhăn, không bai dão sau thời gian dài sử dụng. Điều này giúp áo luôn giữ được phom dáng sắc nét, thể hiện sự mạnh mẽ và tinh thần thể thao.
Thoáng khí, hỗ trợ thấm hút mồ hôi: Công nghệ dệt hiện đại giúp không khí lưu thông tốt hơn, nhanh chóng làm khô mồ hôi, mang lại cảm giác dễ chịu khi vận động.
Kháng khuẩn tốt, dễ bảo quản: Chất liệu 100% polyester có đặc tính kháng khuẩn tự nhiên, giúp hạn chế sự phát triển của vi khuẩn và ngăn ngừa mùi hôi do mồ hôi hoặc bụi bẩn tích tụ. Đồng thời, bề mặt vải ít bám bẩn, dễ vệ sinh và nhanh khô, giúp áo luôn sạch sẽ, bền đẹp theo thời gian.
Thông số kỹ thuật
Chất liệu: 100% polyester
Màu: Red, White
Size: S-3XL
Mã SP: MJ-A4051-03, MJ-A4052-01",
https://shop.webthethao.vn/vot-pickleball-zocker-aspire-x-phuc-huynh-blue-zaxph-06-hang-chinh-hang,"Vợt Pickleball Zocker Aspire x Phúc Huỳnh ""Black"" ZAxPH-05 - Hàng Chính Hãng",,,,"Vợt không chỉ là 1 công cụ mà còn là người bạn đồng hành lý tưởng, giúp bạn chinh phục mọi thử thách trên sân pickleball. Với thiết kế đơn giản, hiện đại, mang tính xu hướng toàn cầu, vợt Zocker Aspire phù hợp với nhiều đối tượng, từ người mới chơi cho tới vận động viên chuyên nghiệp.
Với Aspire, Zocker cho ra mắt 2 phiên bản với độ dày lần lượt 13.3mm và 16mm, cùng 6 màu sắc khác nhau gồm: Trắng, hồng, đỏ, xanh, tím, đen. Mỗi màu đều mang theo sắc thái riêng. Trong đó, Vợt Pickleball Zocker Aspire viền Đỏ nổi bật với sự mạnh mẽ, năng lượng bùng cháy. Sự đa dạng về độ dày cũng như màu sắc giúp người dùng thoải mái đưa ra lựa chọn phù hợp với lối chơi cũng như phong cách thời thượng.
Zocker sử dụng cấu trúc tổ ong cùng công nghệ ép nóng cho phần lõi, mang tới độ bền vượt trội, vô cùng chắc chắn. Kết hợp với bề mặt carbon T700 nhập từ Nhật giúp tăng độ nhám, hỗ trợ rất tốt cho các kỹ thuật tạo xoáy.
Trọng lượng vợt 230 gr cho cảm giác đầm tay. Phần tay cầm dài 14 cm dễ dàng kiểm soát và chuyển đổi kiểu cầm, bên ngoài được cuốn cao su trắng cho cảm giác chắc chắn, thoái mái, giúp bạn tự tin phô diễn các kỹ thuật trên sân.
Các kỹ sư của Zocker đã thực hiện nhiều cải tiến quan trọng giúp nâng cao khả năng push lực lên tới 25 - 30%. Độ rung gần như bằng 0, êm ái, khả năng truyền lực tuyệt vời tạo ra những cú drive, smash mạnh & chính xác. Đồng thời, vợt cũng giúp bạn dễ dàng đón đỡ những cú đánh mạnh từ đối thủ, giữ vững thế trận.
Một ưu điểm khác của vợt Zocker Aspire là EVA đen full viền kết hợp với lõi tổ ong PP giúp tăng trọng lượng lõi, mở rộng và làm đồng đều điểm ngọt. Biến nó trở thành 1 “vũ khí” có khả năng công – thủ toàn diện.
Trải nghiệm Pickleball Zocker Aspire ngay hôm nay sẽ mang đến cho bạn những trải nghiệm tuyệt vời từ 1 cây vợt cao cấp, được tay vợt hàng đầu châu Á - Phúc Huỳnh tin dùng!",
